participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,0.44555044174194336,10.89788818359375,-0.0027619392479977956,0.04853823781013489,0.04853823781013489,0.03528696671128273,25,0,0,0.0,2,45.0,30.132360297413676,210.1388440285338
25,0.0,1.0,0.5,0.23215007781982422,3.6803441047668457,0.0007098450290375071,0.037595853209495544,0.037595853209495544,0.03715011104941368,125,0,0,0.0,1,35.0,25.233217701876786,62.558357635216815
3,0.0,1.0,0.5,0.3719499111175537,13.253098964691162,-0.0027721327309497053,-0.06112802028656006,-0.06112802028656006,-0.042306189443550815,109,1,16,16.0,3,24.0,28.132600100734923,158.6488197362267
4,1.0,1.0,1.0,0.04470014572143555,86.60705256462097,0.0027277417365598796,-0.5117324590682983,-0.5117324590682983,-0.4770100712776184,1,0,0,0.0,4,33.75,20.73442269248802,144.11986952532644
24,1.0,1.0,1.0,0.16729974746704102,38.14129328727722,0.0018943772314061887,-0.4717247784137726,-0.4717247784137726,-0.450693279504776,216,0,0,0.0,6,19.333333333333332,29.626179177760466,188.20452922424488
4,0.0,1.0,0.5,0.33514976501464844,7.967860221862793,0.001025825542090606,-0.010352048091590405,-0.010352048091590405,-0.024936802685260773,227,0,0,0.0,4,31.25,20.567002238815963,141.8209569947921
17,1.0,1.0,0.5,0.21219992637634277,8.403051853179932,-0.0023838686936477537,-0.2104625105857849,-0.2104625105857849,-0.2022567093372345,64,0,0,0.0,2,27.5,34.19048177065873,219.28881591320152
19,1.0,1.0,1.0,0.9712502956390381,0.0003497600555419922,0.0017097988837290893,0.4926896095275879,0.4926896095275879,0.47389012575149536,141,0,0,0.0,2,18.5,20.968363288122532,118.20136365530902
6,1.0,1.0,0.5,0.10710000991821289,44.776145935058594,0.00045028538773802986,-0.22585946321487427,-0.22585946321487427,-0.21510332822799683,173,0,0,0.0,1,23.0,17.78965755863163,85.04912099451653
26,1.0,1.0,1.0,0.346099853515625,2.7852015495300293,0.0015657885001597348,0.06028938293457031,0.06028938293457031,0.032109834253787994,215,0,0,0.0,3,28.666666666666668,27.55441758372132,172.5286239774938
18,1.0,1.0,0.5,0.4589996337890625,7.859856128692627,-0.00019776199599017452,0.008320130407810211,0.008320130407810211,-0.03343680873513222,76,0,0,0.0,3,23.0,33.26738644696681,254.01742226962037
23,1.0,1.0,1.0,0.0,104.47801446914673,0.0010392826312075204,-0.6538545489311218,-0.6538545489311218,-0.6404066681861877,0,0,0,0.0,5,31.4,26.788989596055057,227.16603183193075
16,1.0,1.0,0.5,0.21670007705688477,3.6406476497650146,0.0016891027442593881,-0.014860684052109718,-0.014860684052109718,-0.015559911727905273,120,0,0,0.0,1,122.0,24.364966471485435,78.9868531153422
18,1.0,1.0,0.5,0.2567000389099121,13.28880197700456,0.0009452459059827234,-0.07165403708123957,-0.07165403708123957,-0.06613577356639411,209,1,98,98.0,4,28.5,19.545073394431476,176.1457656911434
26,1.0,1.0,1.0,0.14619970321655273,184.3149173259735,-0.0012138889394188136,-1.029638648033142,-1.029638648033142,-0.997876763343811,8,0,0,0.0,3,48.0,22.316741563720868,149.0486140339863
10,1.0,1.0,1.0,0.0,133.03769826889038,0.001544077829261777,-0.916984592308978,-0.916984592308978,-0.8985061603679991,0,1,18,18.0,3,24.666666666666668,26.485458767217114,171.9509387705009
13,1.0,1.0,1.0,0.034799814224243164,181.73863629425801,-0.004024171948011889,-1.3555312413203566,-1.3555312413203566,-1.2811548625197366,3,1,106,106.0,3,32.0,15.577382623646637,115.85850439030581
22,1.0,1.0,1.0,0.0,197.71744656562805,-0.0025012004788519367,-1.4247069358825684,-1.4247069358825684,-1.3759434223175049,0,0,0,0.0,2,8.5,25.966419243527007,117.46403800764872
24,0.0,1.0,0.5,0.2735002040863037,43.83314895629883,-0.01371314247354171,-1.042310466243245,-1.042310466243245,-0.993523993757036,4,1,26,26.0,2,31.5,5.630671534884679,60.01751917433502
16,1.0,1.0,1.0,0.2503499984741211,3.6399474143981934,-0.0003062915195401684,-0.012416399084031582,-0.012416399084031582,-0.020649973303079605,233,0,0,0.0,5,13.6,20.999518580339654,96.48916663618456
