participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,0.15774989128112793,236.62542605400085,-0.008508927698194939,-1.114836705832922,-1.114836705832922,-1.124865568778365,132,1,26,26.0,3,9.666666666666666,11.437824224898534,59.98893703233235
17,1.0,0.0,,0.12240004539489746,1.5559000968933105,-0.0005238473649826921,-0.06665191799402237,-0.06665191799402237,-0.08108475059270859,58,0,0,0.0,2,19.5,27.717049874139096,185.19401643720605
19,1.0,0.0,,1.4334999322891235,2.4298512935638428,0.004260004517252586,0.730515775560331,0.730515775560331,0.7008977661962095,248,1,19,19.0,4,55.5,20.619120461932283,203.2388932168634
19,1.0,0.0,,0.9745502471923828,57.233420848846436,0.003165124229309487,-0.06479959189891815,-0.06479959189891815,-0.0535692535340786,352,0,0,0.0,7,29.857142857142858,21.821155794920816,173.78242882983676
17,1.0,0.0,,0.20094990730285645,7.105509519577026,-5.067984817294271e-05,0.031167278066277504,0.031167278066277504,0.03420862928032875,130,0,0,0.0,5,12.2,22.864467890931582,117.92169855016982
8,1.0,0.0,,0.6241497993469238,4.357393451035023,0.00045584685001647587,0.1640759524511022,0.1640759524511022,0.1344200097348379,266,1,15,15.0,1,62.0,19.83263917690444,359.48716462975096
14,0.0,0.0,,0.06625008583068848,64.93389451503752,-0.0005639125478491783,-0.4736746142224437,-0.4736746142224437,-0.45991578144518286,32,1,21,21.0,3,46.0,20.622311998343275,139.20501155085697
23,0.0,0.0,,0.4602501392364502,3.165000319480896,0.0007937977156921319,0.14192492287365996,0.14192492287365996,0.14116785307175556,291,1,47,47.0,7,27.0,18.16546923527448,123.89636399377449
23,0.0,0.0,,0.16574954986572266,6.156750202178955,-0.005024945304208658,-0.2655569016933441,-0.2655569016933441,-0.27746307849884033,109,0,0,0.0,1,69.0,33.84047189768523,263.98681298279473
16,0.0,0.0,,0.22539997100830078,10.219194889068604,-0.0001238096527802944,-0.16990774869918823,-0.16990774869918823,-0.15961496531963348,117,0,0,0.0,4,35.75,18.451582477554073,159.20684157819414
