participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,0.617400050163269,6.683699011802673,0.0056791341530410076,-0.045865152636144914,-0.045865152636144914,-0.021239519119262695,79,1,5,5.0,3,25.666666666666668,23.194275141341176,199.47382712934413
23,0.0,0.0,,0.0,49.4977023601532,-0.0004213171247208386,-0.6275137066841125,-0.6275137066841125,-0.591450035572052,0,0,0,0.0,2,34.5,18.99855915284669,123.85182352318088
19,1.0,0.0,,0.0,14.345844984054564,-0.00017760571318857924,-0.28139820873227894,-0.28139820873227894,-0.26305069397477543,0,1,16,16.0,1,17.0,14.168990150919175,226.70384241470637
7,1.0,0.0,,0.00044989585876464844,16.540801286697388,-0.0016399258583797652,-0.24123032887776694,-0.24123032887776694,-0.22562052219203033,1,1,31,31.0,1,64.0,7.671531901815105,28.63011905060212
3,1.0,0.0,,0.17770004272460938,0.6531617745109237,0.002369850483157051,0.05312067423111353,0.05312067423111353,0.05150418307470239,114,1,22,22.0,1,94.0,8.411507397819527,183.42681949339377
13,1.0,0.0,,0.6773678493499755,0.17344999313354492,0.0005869200934382975,0.238303775461311,0.238303775461311,0.2769896141120366,49,1,24,24.0,1,84.0,22.61266450408739,286.4019732243697
18,1.0,0.0,,0.2667999267578125,0.27159929275512695,0.0023308450317577178,0.10743338614702225,0.10743338614702225,0.08581262826919556,78,0,0,0.0,1,45.0,21.37922359588583,59.223552773467404
9,1.0,0.0,,0.2801499366760254,5.481349945068359,-0.015700395692623718,-0.26990657586317796,-0.26990657586317796,-0.4152112185955047,58,0,0,0.0,2,13.0,19.921881363377828,108.58550851429902
19,0.0,0.0,,0.18559932708740234,1.417250633239746,-0.0040064929341953335,-0.08585920929908752,-0.08585920929908752,-0.129893958568573,47,0,0,0.0,3,14.333333333333334,16.32984831627617,125.54121207446616
1,1.0,0.0,,0.29900026321411133,0.0854496955871582,0.0014962883554698809,0.10027273744344711,0.10027273744344711,0.09634381532669067,89,0,0,0.0,1,19.0,8.17487826887853,19.098255407898897
24,1.0,0.0,,0.27719974517822266,2.527350425720215,-0.00795669510930879,-0.09745617210865021,-0.09745617210865021,-0.11848771572113037,71,0,0,0.0,1,30.0,21.463051883818977,88.1418030739475
14,0.0,0.0,,0.40650010108947754,6.020999908447266,-0.03418202409485247,-0.6017796259659987,-0.6017796259659987,-0.7014330110766671,77,1,32,32.0,1,14.0,17.323981700917308,225.21176211192477
22,0.0,0.0,,0.4291999340057373,0.0,0.0035716625095944766,0.27725669741630554,0.27725669741630554,0.2592748701572418,109,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0.2648499011993408,0.734799861907959,0.000263988166905923,0.04529401287436485,0.04529401287436485,0.016468703746795654,91,0,0,0.0,1,20.0,40.164312704527376,289.6821255894697
16,1.0,0.0,,0.23930001258850098,15.03339978626796,-0.001414275085051222,-0.10757686949183798,-0.10757686949183798,-0.1141420198338372,25,1,27,27.0,1,24.0,16.017235498312935,149.08806824989964
22,0.0,0.0,,0.31749987602233887,0.30369997024536133,2.555366232650798e-05,0.11719037528730859,0.11719037528730859,0.1170231208205223,77,1,39,39.0,0,0.0,0.0,0.0
3,1.0,0.0,,0.24015021324157715,4.077797889709472,0.003160594432528225,0.048370603822235375,0.048370603822235375,0.09166881442070007,116,1,8,8.0,1,96.0,6.955349956753685,82.61256015942587
12,1.0,0.0,,0.34369993209838867,1.2011497020721436,-0.0022010476245236145,-0.022434962913393974,-0.022434962913393974,-0.05686861276626587,44,0,0,0.0,2,8.5,19.777946195314694,76.48307149047292
5,0.0,0.0,,0.3408999443054199,4.152650833129883,-0.0027714666671906133,0.04854143410921097,0.04854143410921097,0.05443122982978821,39,0,0,0.0,1,18.0,5.7816385896514335,17.020270011554306
9,0.0,0.0,,0.5087500810623169,0.2639995813369751,0.004732318779491662,0.18058725198109946,0.18058725198109946,0.1668824350833893,101,1,23,23.0,2,11.5,9.246916137012903,69.28258855595277
21,1.0,0.0,,0.07619976997375488,16.86230024538542,-0.0004874760488240022,-0.4178656181718549,-0.4178656181718549,-0.4004312739299055,13,1,35,35.0,2,38.5,9.860722843199213,75.3167543850901
5,0.0,0.0,,0.29760074615478516,0.02564859390258789,0.000519003082271046,0.19023801386356354,0.19023801386356354,0.17266911268234253,116,0,0,0.0,2,7.5,4.037865704053124,16.177894556066967
7,0.0,0.0,,0.03455018997192383,12.10419511795044,0.00022495153983616273,-0.12598668038845062,-0.12598668038845062,-0.12091869115829468,10,0,0,0.0,1,84.0,8.006404654561765,18.12352146302635
24,0.0,0.0,,0.2669498920440674,0.0280001163482666,0.0011020715366468659,0.1280188152932713,0.1280188152932713,0.1252312573694414,96,1,30,30.0,2,18.5,2.070978006389234,41.25800578391787
12,1.0,0.0,,0.18015003204345703,1.7073992490768433,-0.0007798167723779308,0.0010532329225132495,0.0010532329225132495,0.02577149332348816,96,1,33,33.0,1,13.0,1.164233027853637,13.97079633424363
3,1.0,0.0,,0.021699905395507812,3.5906996726989746,-0.003430401677396036,-0.2139882743358612,-0.2139882743358612,-0.1986810564994812,66,0,0,0.0,2,27.0,20.54000402556547,97.92726401818501
15,0.0,0.0,,0.5613498687744141,3.319455146789551,0.0053190593729915405,0.11694516986608505,0.11694516986608505,0.10319358110427856,89,0,0,0.0,1,10.0,14.687151066576792,107.9301702252894
12,1.0,0.0,,0.19315004348754883,4.0363500118255615,-0.0026294364831872395,-0.05835343152284622,-0.05835343152284622,-0.04095622897148132,43,0,0,0.0,1,10.0,1.2002984600286886,5.9111084171045745
26,0.0,0.0,,0.3797001838684082,0.27155041694641113,0.0030268568375139606,0.15975286066532135,0.15975286066532135,0.1564185917377472,81,0,0,0.0,1,9.0,25.51623162193681,110.6416846694822
18,1.0,0.0,,0.100350022315979,9.613142013549801,-0.0017894477379684886,-0.1319117984201154,-0.1319117984201154,-0.1467848688364029,67,1,9,9.0,1,58.0,31.98028555805415,311.0204843004379
15,0.0,0.0,,0.45420002937316895,0.9692492485046387,0.004381133227391276,0.10104833543300629,0.10104833543300629,0.10674381256103516,93,0,0,0.0,3,16.0,16.9039193576731,73.1612593134575
25,0.0,0.0,,0.3347001075744629,1.8415498733520508,-0.006947157911009593,-0.12917686998844147,-0.12917686998844147,-0.12430620193481445,30,0,0,0.0,1,27.0,35.04252471724631,232.51134647125338
14,0.0,0.0,,0.11755037307739258,1.249342441558838,0.0002871906654275476,0.01324980054050684,0.01324980054050684,0.02408778667449951,92,0,0,0.0,1,30.0,17.06274290907954,68.74672701004947
7,1.0,0.0,,0.20300006866455078,46.4400053024292,-0.008504376742792256,-0.8343462944030762,-0.8343462944030762,-0.7967001795768738,9,0,0,0.0,1,15.0,9.226264097869745,18.513471887942842
9,0.0,0.0,,0.20725011825561523,0.40834999084472656,-0.0008528474176529742,0.05575515702366829,0.05575515702366829,0.03297504782676697,49,0,0,0.0,1,68.0,10.620031650809505,39.77626044401481
18,1.0,0.0,,0.2463998794555664,0.1539006233215332,0.00016100131637691466,0.07348206639289856,0.07348206639289856,0.08851248025894165,62,0,0,0.0,1,20.0,5.162993287308079,11.76345120000861
21,1.0,0.0,,0.1439499855041504,21.013057827949524,-0.005858767517173231,-0.3375288248062134,-0.3375288248062134,-0.30958769173403977,13,1,35,35.0,2,28.5,5.456481880770622,85.79417671873547
5,0.0,0.0,,0.3194999694824219,5.690406084060669,0.0040496880287593795,-0.001388132106512785,-0.001388132106512785,0.015349924564361572,115,0,0,0.0,2,16.0,24.69145271208895,83.60008683009016
17,1.0,0.0,,0.2900998592376709,0.34690117835998535,0.00035622029186668905,0.08352773636579514,0.08352773636579514,0.08604371547698975,49,0,0,0.0,1,26.0,13.383322644830832,30.07223871523094
14,0.0,0.0,,0.20875000953674316,6.311628813472222,0.003002137429708713,-0.05223762275826218,-0.05223762275826218,-0.04889948324459359,97,1,44,44.0,2,11.0,13.462004230343057,47.768694900495106
19,1.0,0.0,,0.050749778747558594,7.224100589752197,-0.007208493114291303,-0.3518372178077698,-0.3518372178077698,-0.3416562080383301,13,0,0,0.0,2,42.0,27.785240466629578,284.63795419638535
9,0.0,0.0,,0.019800186157226562,5.249399900436401,-0.048914479440097046,-1.6041581915993977,-1.6041581915993977,-1.603181127990995,27,0,0,0.0,1,13.0,48.530791255359276,582.369495064311
6,0.0,0.0,,0.03129994869232178,5.015700101852417,-0.011426128069850333,-0.31316548636835867,-0.31316548636835867,-0.42613622215059066,7,1,8,8.0,1,8.0,4.144632421779803,29.012426952458494
13,1.0,0.0,,0.03315019607543945,6.187549829483032,-0.056255169051031055,-2.830786948530083,-2.830786948530083,-2.779426764844072,9,0,0,0.0,1,12.0,30.639947978646713,337.0394277651136
12,1.0,0.0,,0.5338001251220703,0.44694972038269043,0.0006013173584235679,0.18268686482030103,0.18268686482030103,0.2013087496980206,110,1,27,27.0,1,18.0,0.7127398493095517,12.116577438261952
14,0.0,0.0,,0.23449993133544922,0.14784908294677734,0.00010179403947296458,0.07603990286588669,0.07603990286588669,0.06548148393630981,52,0,0,0.0,1,65.0,5.654148832830728,14.061947909220025
