participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0.5292997360229492,0.2278001308441162,0.002739456951556562,0.1571294516324997,0.1571294516324997,0.17021873593330383,110,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.21320009231567383,0.08889961242675781,0.0018837833238756693,0.05281791836023331,0.05281791836023331,0.04846876859664917,104,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,0.7709999084472656,2.2806496620178223,0.008402582696173415,0.2049359232187271,0.2049359232187271,0.24610000848770142,116,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,0.29290008544921875,0.4652998447418213,-0.001295511221769799,-0.018908429349589553,-0.018908429349589553,-0.014598614717392211,95,1,32,32.0,0,0.0,0.0,0.0
3,1.0,0.0,,0.14805006980895996,4.849847823758668,-1.7791607287410046e-05,-0.12180079761733356,-0.12180079761733356,-0.10333515249269876,105,1,78,78.0,1,8.5,3.6970694916965963,13.941160554658278
13,1.0,0.0,,0.38394999504089355,6.205450057983398,-0.030526283259403382,-0.6511359408370448,-0.6511359408370448,-0.7962104479471843,54,1,11,11.0,0,0.0,0.0,0.0
18,1.0,0.0,,0.7062501907348633,0.5903166400061712,0.005433267272579215,0.3518761202820346,0.3518761202820346,0.371570781028116,116,1,62,62.0,0,0.0,0.0,0.0
9,1.0,0.0,,0.1358499526977539,1.777601718902588,0.0011321500748314188,-0.009329097902672922,-0.009329097902672922,0.00020751670787211296,62,1,18,18.0,0,0.0,0.0,0.0
19,0.0,0.0,,0.023849964141845703,24.557147979736328,-0.0038356171141073953,-0.28823238611221313,-0.28823238611221313,-0.2568312883377075,9,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,0.37724995613098145,0.18626658121744732,-0.001166697491407889,0.22053203114077577,0.22053203114077577,0.2138791332642238,37,1,11,11.0,0,0.0,0.0,0.0
24,1.0,0.0,,0.13644981384277344,7.97760796546936,-0.0020868135242839174,-0.08794800192117691,-0.08794800192117691,-0.1008375883102417,13,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.45044994354248047,5.4905500411987305,-0.004868123461454886,-0.07056757425650573,-0.07056757425650573,-0.17245838046073914,96,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,0.05430030822753906,1.7209999561309814,-0.0157129599004803,-1.0114936828613281,-1.0114936828613281,-0.9693437218666077,8,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0.40615010261535645,0.4022500514984131,-0.004194068478866967,0.001685880240984261,0.001685880240984261,-0.004743784666061401,26,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,0.38499975204467773,0.05385017395019531,0.0034950457189646517,0.13606619834899902,0.13606619834899902,0.1487187147140503,94,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,0.13415002822875977,7.125145196914673,0.0011161164289597769,-0.07763195782899857,-0.07763195782899857,-0.07316860556602478,116,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,0.14845013618469238,1.6754153205687778,0.0004609242249346953,0.018835489566509517,0.018835489566509517,0.014446133590606314,113,1,82,82.0,0,0.0,0.0,0.0
12,1.0,0.0,,0.054900169372558594,15.687593460083008,-0.002183734685525127,-0.22646395862102509,-0.22646395862102509,-0.23197486996650696,21,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,0.6726000308990479,0.5543500185012817,0.004789462510823694,0.20440126382387602,0.20440126382387602,0.2071249932050705,115,1,6,6.0,0,0.0,0.0,0.0
9,0.0,0.0,,0.08340072631835938,10.932277917861938,0.000490382121459607,-0.12520438432693481,-0.12520438432693481,-0.10840600728988647,109,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,0.25229978561401367,3.0304079055786133,0.0029277373332783213,-0.020627642050385475,-0.020627642050385475,-0.018375277519226074,108,0,0,0.0,1,7.5,4.553934959211601,22.769201931359802
5,0.0,0.0,,0.017900466918945312,3.1563963890075684,-0.002211174843925105,-0.149477019906044,-0.149477019906044,-0.14713728427886963,38,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,0.06825017929077148,7.719151973724365,-0.00038607991703386004,-0.10235046595335007,-0.10235046595335007,-0.0907813310623169,2,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,0.25909996032714844,0.001399993896484375,0.001191470568314677,0.13558229804039001,0.13558229804039001,0.11475610733032227,105,0,0,0.0,0,0.0,0.0,0.0
12,1.0,0.0,,0.35885000228881836,0.31600022315979004,-0.0021259360072670964,0.1237042173743248,0.1237042173743248,0.052112460136413574,55,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,0.2328500747680664,6.52849006652832,0.0024494036249877262,-0.06492505222558975,-0.06492505222558975,-0.06409364938735962,110,0,0,0.0,1,7.0,2.7674939388212687,13.284662977453074
15,0.0,0.0,,0.6578001976013184,2.537348985671997,-0.004237188234460565,0.14468778669834137,0.14468778669834137,0.11151891946792603,52,0,0,0.0,0,0.0,0.0,0.0
12,1.0,0.0,,0.2045001983642578,9.203440308570862,0.0018363240359025263,-0.0829000656421368,-0.0829000656421368,-0.018865377985333165,105,1,15,15.0,0,0.0,0.0,0.0
26,0.0,0.0,,0.0773998498916626,9.108153045177461,0.00032107467704056106,-0.16317571381218413,-0.16317571381218413,-0.1421417266130448,108,1,29,29.0,1,8.0,3.414572348788866,15.247644947870276
18,1.0,0.0,,0.21074998378753662,4.136045694351196,-0.0018504608447249202,-0.01129773539355677,-0.01129773539355677,-0.0209561288356781,75,1,9,9.0,0,0.0,0.0,0.0
