participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,0.12925004959106445,56.53474843502045,-0.0015182992384036413,-0.3618141362647049,-0.3618141362647049,-0.365651760741252,38,1,18,18.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.13424992561340332,30.94220519065857,-0.0012179500482671119,-0.21946868300437927,-0.21946868300437927,-0.2162630707025528,39,0,0,0.0,2,7.5,4.17037705983323,16.300894253577333
19,1.0,0.0,,0.23839998245239258,6.055399656295776,-0.002142611422258592,-0.26407883748286914,-0.26407883748286914,-0.27029961051843354,257,1,16,16.0,1,7.0,2.0552868801726216,9.625571333470456
19,1.0,0.0,,0.13391244411468506,53.46475005149841,-0.007816424058778219,-0.8301637336319568,-0.8301637336319568,-0.8182635755841947,151,1,12,12.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.2702000141143799,73.4502899646759,-0.004725314221645288,-0.32109192105568424,-0.32109192105568424,-0.32598260376188487,201,1,15,15.0,1,10.5,7.91859150945475,34.11428498737356
8,1.0,0.0,,0.773200273513794,0.2911500930786133,0.0011372553848144897,0.28226378560066223,0.28226378560066223,0.26507601141929626,306,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.3697998523712158,3.20270037651062,-0.0023881725701969106,-0.08323692674396418,-0.08323692674396418,-0.08349799134237382,176,1,17,17.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.3338003158569336,5.407549858093262,-0.004051724963716677,-0.13609893348704533,-0.13609893348704533,-0.1850729993445129,111,2,47,39.5,2,8.5,4.328126180922704,21.744748935547797
23,0.0,0.0,,0.6585502624511719,0.865349531173706,0.0010159550291972859,0.2739892899990082,0.2739892899990082,0.2797544002532959,325,0,0,0.0,1,8.0,3.3215025625657764,19.030934675426078
16,0.0,0.0,,0.6127001047134399,3.7583934671276213,-0.0006522820711184869,0.20162528001961588,0.20162528001961588,0.19736535225652704,81,1,25,25.0,0,0.0,0.0,0.0
19,0.0,0.0,,0.42840003967285156,8.809303760528564,-0.0004735595094906512,0.03969096035516562,0.03969096035516562,0.04144450604627675,115,1,17,17.0,1,7.0,4.477117743059004,19.767317787137742
24,0.0,0.0,,0.4360499382019043,0.05424976348876953,0.0009418191047358205,0.252214640378952,0.252214640378952,0.2552696168422699,312,0,0,0.0,2,8.75,2.6809860816074274,15.402275221974351
21,0.0,0.0,,0.2344503402709961,35.03395056724548,-0.0007419115355034837,-0.13341212272644043,-0.13341212272644043,-0.12606926262378693,123,0,0,0.0,1,8.0,4.708007586986607,14.494987972716933
3,0.0,0.0,,0.45660012646725257,8.132605138577913,0.0006412068028444694,0.0499784655931617,0.0499784655931617,0.06077224598141862,311,2,18,16.0,1,8.0,2.6640379781127774,16.28431449942098
6,0.0,0.0,,0.5660001039505005,0.19384980201721191,-1.7346077327013997e-05,0.16780322940409684,0.16780322940409684,0.164665545911196,227,1,30,30.0,0,0.0,0.0,0.0
3,0.0,0.0,,0.36605018063595374,17.004199806012608,0.0013530272634116026,0.05940589116734951,0.05940589116734951,0.06882612328780327,161,1,18,18.0,0,0.0,0.0,0.0
